"time","eurhuf","usdhuf","kinfodummy","napi_google","heti_google"
2020-04-23,357.410003662109,333.174011230469,1,21,4
2020-04-26,355.768005371094,329.380004882812,0,0,8
2020-04-27,358.390991210938,330.785003662109,0,8,8
2020-04-28,357.596984863281,329.690002441406,0,0,8
2020-04-29,354.579986572266,326.529998779297,0,23,8
2020-04-30,354.497985839844,322.690002441406,1,87,8
2020-05-03,354.519012451172,324.690002441406,0,7,5
2020-05-04,353.901000976562,324.890991210938,0,12,5
2020-05-05,351.502990722656,325.674011230469,0,0,5
2020-05-06,351.191009521484,326.019012451172,0,0,5
2020-05-07,350.535003662109,323.700012207031,1,27,5
2020-05-10,350.510009765625,323.890014648438,0,10,7
2020-05-11,350.924987792969,325.010009765625,0,0,7
2020-05-12,354.730010986328,327.295989990234,0,0,7
2020-05-13,354.765014648438,328.980010986328,0,12,7
2020-05-14,354.739013671875,328.769989013672,1,88,7
2020-05-17,354.480010986328,327.790985107422,0,18,4
2020-05-18,353.075988769531,323.869995117188,0,0,4
2020-05-19,350.623992919922,320.510009765625,0,7,4
2020-05-20,349.93798828125,319.480010986328,0,14,4
2020-05-21,350.554992675781,321.72900390625,1,23,4
2020-05-24,351.098999023438,322.480010986328,0,25,4
2020-05-25,350.912994384766,321.850006103516,0,9,4
2020-05-26,349.316009521484,319.119995117188,0,0,4
2020-05-27,350.247985839844,318.615997314453,0,9,4
2020-05-28,349.721984863281,315.660003662109,1,17,4
2020-05-31,346.527008056641,311.970001220703,0,0,6
2020-06-01,346.221984863281,311.390014648438,0,0,6
2020-06-02,346.239013671875,309.481994628906,0,17,6
2020-06-03,345.766998291016,308.773986816406,0,16,6
2020-06-04,344.785003662109,304.919006347656,1,47,6
2020-06-07,344.302001953125,305.143005371094,0,18,3
2020-06-08,345.217987060547,306.424011230469,0,6,3
2020-06-09,344.194000244141,303.970001220703,0,12,3
2020-06-10,345.716003417969,304.233001708984,0,0,3
2020-06-11,347.307006835938,308.989990234375,0,25,3
2020-06-14,347.967010498047,309.790008544922,0,0,10
2020-06-15,346.764007568359,308.016998291016,0,0,10
2020-06-16,345.315002441406,307.75,1,18,10
2020-06-17,346.575988769531,309.153015136719,0,44,10
2020-06-18,346.204010009766,309.570007324219,0,100,10
2020-06-21,347.243011474609,309.492004394531,0,0,1
2020-06-22,350.622985839844,309.876007080078,0,0,1
2020-06-23,351.85400390625,312.43798828125,0,0,1
2020-06-24,355.027008056641,316.897003173828,0,0,1
2020-06-25,355.941009521484,317.773010253906,1,22,1
2020-06-28,357.296997070312,317.434997558594,0,0,2
2020-06-29,357.316009521484,318.605987548828,0,0,2
2020-06-30,355.010009765625,317.082000732422,0,0,2
2020-07-01,353.113006591797,313.510009765625,0,0,2
2020-07-02,353.274993896484,314.209991455078,0,7,2
2020-07-05,354.368988037109,314.768005371094,0,3,5
2020-07-06,354.308013916016,314.174987792969,0,0,5
2020-07-07,355.773986816406,315.720001220703,0,0,5
2020-07-08,354.980987548828,313.178985595703,0,0,5
2020-07-09,353.963989257812,314.364013671875,0,14,5
2020-07-12,354.095001220703,313.015014648438,0,35,12
2020-07-13,355.660003662109,313.533996582031,0,2,12
2020-07-14,355.070007324219,311.649993896484,0,0,12
2020-07-15,354.152008056641,311.160003662109,0,9,12
2020-07-16,354.009002685547,311.029998779297,1,20,12
2020-07-19,353.820007324219,309.441986083984,0,4,3
2020-07-20,352.170013427734,307.940002441406,0,3,3
2020-07-21,350.730987548828,304.570007324219,0,6,3
2020-07-22,347.910003662109,301.011993408203,0,0,3
2020-07-23,348.140014648438,300.122985839844,0,8,3
2020-07-26,346.156005859375,296.855010986328,0,0,15
2020-07-27,347.061004638672,296.226989746094,0,0,15
2020-07-28,348.158996582031,296.596008300781,0,0,15
2020-07-29,346.278991699219,294.549987792969,0,18,15
2020-07-30,345.240997314453,291.7080078125,1,60,15
2020-08-02,346.029998779297,295.725006103516,0,0,2
2020-08-03,346.382995605469,295.303009033203,0,2,2
2020-08-04,346.309997558594,293.290008544922,0,0,2
2020-08-05,346.410003662109,292.601989746094,0,5,2
2020-08-06,347.281005859375,295.367004394531,1,7,2
2020-08-09,346.47900390625,294.285003662109,0,5,5
2020-08-10,345.4169921875,294.179992675781,0,0,5
2020-08-11,345.720001220703,294.578002929688,0,2,5
